id,tokenized_comment_text
id,['comment_text']
001810bf8c45bf5f,"['you', 'are', 'gay', 'or', 'antisemmitian', '?', 'archangel', 'white', 'tiger', 'meow', '!', 'greetingshhh', '!', 'uh', ',', 'there', 'are', 'two', 'ways', ',', 'why', 'you', 'do', 'erased', 'my', 'comment', 'about', 'ww2', ',', 'that', 'holocaust', 'was', 'brutally', 'slaying', 'of', 'jews', 'and', 'not', 'gays/gypsys/slavs/anyone', '...', '1', '-', 'if', 'you', 'are', 'anti-semitian', ',', 'than', 'shave', 'your', 'head', 'bald', 'and', 'go', 'to', 'the', 'skinhead', 'meetings', '!', '2', '-', 'if', 'you', 'doubt', 'words', 'of', 'the', 'bible', ',', 'that', 'homosexuality', 'is', 'a', 'deadly', 'sin', ',', 'make', 'a', 'pentagram', 'tatoo', 'on', 'your', 'forehead', 'go', 'to', 'the', 'satanistic', 'masses', 'with', 'your', 'gay', 'pals', '!', '3', '-', 'first', 'and', 'last', 'warning', ',', 'you', 'fucking', 'gay', '-', 'i', 'wo', ""n't"", 'appreciate', 'if', 'any', 'more', 'nazi', 'shwain', 'would', 'write', 'in', 'my', 'page', '!', 'i', 'do', ""n't"", 'wish', 'to', 'talk', 'to', 'you', 'anymore', '!', 'beware', 'of', 'the', 'dark', 'side', '!']"
00472b8e2d38d1ea,"['a', 'pair', 'of', 'jew-hating', 'weiner', 'nazi', 'schmucks', '.']"
006b94add72ed61c,"['i', 'think', 'that', 'your', 'a', 'fagget', 'get', 'a', 'oife', 'and', 'burn', 'in', 'hell', 'i', 'hate', 'you', ""'m"", 'sorry', 'we', 'cant', 'have', 'any', 'more', 'sex', 'i', ""'m"", 'running', 'out', 'of', 'conndoms']"
008e0818dde894fb,"['kill', 'all', 'niggers', '.', 'i', 'have', 'hard', ',', 'that', 'others', 'have', 'said', 'this', '..', 'should', 'this', 'be', 'included', '?', 'that', 'racists', 'sometimes', 'say', 'these', '.']"
0097dd5c29bf7a15,"['u', 'r', 'a', 'tw', '@', 'fuck', 'off', 'u', 'gay', 'boy.u', 'r', 'smelly.fuck', 'ur', 'mum', 'poopie']"
01166f26ee280e56,"['gay', 'the', 'existence', 'of', 'cdvf', 'is', 'further', 'proof', 'that', 'is', 'a', 'sad', 'twat', '.', 'he', 'is', 'also', 'very', 'ugly', ',', 'and', 'has', 'a', 'willy', 'for', 'a', 'face', '.']"
015d1b0bb4cc744d,"['dictionaries', 'how', 'dare', 'you', 'call', 'my', 'contribution', 'spam', '!', '!', '!', 'i', 'am', 'a', 'kurd', 'and', 'i', 'made', 'a', 'lsit', 'of', 'kurdish', 'dictionaries', '.', 'you', 'bloody', 'turkish', 'nationalist', 'and', 'atoricity', 'commiting', 'bone', 'breaking', 'nazi', '.', 'watch', 'out', 'folk', 'this', 'slimy', 'turk', 'is', 'trying', 'to', 'censor', 'the', 'internet', 'this', 'is', 'not', 'undemocratic', 'turkey', 'here', ',', 'no', 'prison', 'cells', 'in', 'wikipedia', 'you', 'stupid', 'turk', '!', 'and', 'you', 'buggers', 'want', 'membership', 'to', 'the', 'eec']"
026bd33490542b2e,"['you', 'gay', 'motherfucker', 'i', 'know', 'where', 'you', 'live', ',', 'i', 'am', 'going', 'to', 'sand', 'your', 'face', 'off', ',', 'then', 'i', 'am', 'to', 'going', 'to', 'beat', 'you', 'to', 'a', 'pulp', ',', 'you', 'chicken', 'shagger', '.']"
029dceed3519e371,"['you', 'studid', 'cock', 'sucker', 'u', 'stop', 'callin', 'me', 'ok', 'its', 'a', 'frank', 'garrett', 'eatin', 'the', 'worms', 'crawl', 'outa', 'your', 'moms', 'pussy', 'you', 'fucking', 'retardo', 'hit', 'i', 'retardo']"
02c6e41e4b317ac3,"['would', ""n't"", 'be', 'the', 'first', 'time', 'bitch', '.', 'fuck', 'you', 'i', ""'ll"", 'find', 'out', 'where', 'you', 'live', ',', 'sodomize', 'your', 'wife', 'and', 'then', 'burn', 'your', 'house', 'down', '.', 'fuck', 'you', 'you', 'fucking', 'queer', '.']"
03088aacc4600323,"['fuck', 'you', 'faggot', ',', 'i', 'do', ""n't"", 'care', 'if', 'i', 'get', 'blocked', ',', 'as', 'long', 'as', 'everyone', 'knows', 'you', 'are', 'a', 'dumb', 'cunt', '.']"
031be7991d883341,"['hey', ',', 'you', 'freaking', 'hermaphrodite', '.', 'please', 'unprotect', 'your', 'user', 'page', ';', 'i', 'would', 'like', 'to', 'move', 'it', 'to', 'a', 'more', 'suitable', 'title', 'or', 'three', '.']"
037f8fbe6e9cbe03,"['ghe', 'you', ""'re"", 'a', 'fag', '.', 'learn', 'it', ',', 'know', 'it', '!']"
039296aa294ee10b,"['shut', 'up', ',', 'you', 'fat', 'poop', ',', 'or', 'i', 'will', 'kick', 'your', 'ass', '!', '!', '!']"
041aeadcdbc3543a,"['that', 'was', 'a', 'good', 'edit', 'the', 'polar', 'bear', 'is', 'gay', '!', '!']"
0420f5f4e950566b,"['demonte', 'morton', 'u', 'bastard', 'stop', 'deletin', ""'"", 'my', 'shit', 'u', 'white', 'trash', 'cracker', 'muthafucker', '.', 'fuck', 'u', 'u', 'racist', 'bitch', '.', 'i', 'hope', 'u', 'die', '.']"
04237ea01685d4b6,"['bla', 'bla', 'bla', '....', 'suck', 'it', 'irishguy', '=', ')']"
